"Wavelength","Lipi-Blue EM","Lipi-Blue EX","Hoechst 33342 EM","Hoechst 33342 EX","LysoTracker Green EM","LysoTracker Green EX","SYBR Gold EM","SYBR Gold EX","TMRE EM","TMRE EX","SPY505 EM","SPY505 AB","SPY620 EM","SPY620 AB","SiR EM","SiR AB","DRAQ7 EM","DRAQ7 EX"
250,,,,,,,,0.4765
251,,,,,,,,0.5
252,,,,,,,,0.5241
253,,,,,,,,0.5343
254,,,,,,,,0.5404
255,,,,,,,,0.5505
256,,,,,,,,0.5583
257,,,,,,,,0.5613
258,,,,,,,,0.5627
259,,,,,,,,0.5668
260,,,,,,,,0.5723
261,,,,,,,,0.5672
262,,,,,,,,0.5658
263,,,,,,,,0.5684
264,,,,,,,,0.566
265,,,,,,,,0.5596
266,,,,,,,,0.5526
267,,,,,,,,0.5456
268,,,,,,,,0.5397
269,,,,,,,,0.5381
270,,,,,,,,0.5307
271,,,,,,,,0.5205
272,,,,,,,,0.513
273,,,,,,,,0.5002
274,,,,,,,,0.4891
275,,,,,,,,0.4795
276,,,,,,,,0.4646
277,,,,,,,,0.4507
278,,,,,,,,0.4352
279,,,,,,,,0.4196
280,,,,,,,,0.4058
281,,,,,,,,0.3911
282,,,,,,,,0.3803
283,,,,,,,,0.3703
284,,,,,,,,0.3572
285,,,,,,,,0.3472
286,,,,,,,,0.3345
287,,,,,,,,0.3246
288,,,,,,,,0.3151
289,,,,,,,,0.3037
290,,,,,,,,0.2964
291,,,,,,,,0.2886
292,,,,,,,,0.2817
293,,,,,,,,0.2734
294,,,,,,,,0.2701
295,,,,,,,,0.2649
296,,,,,,,,0.2631
297,,,,,,,,0.2554
298,,,,,,,,0.2499
299,,,,,,,,0.2474
300,,,,0.3968,,,,0.2411,,,,,,,,,,0.41
301,,,,0.3846,,,,0.2367,,,,,,,,,,0.41
302,,,,0.3722,,,,0.2309,,,,,,,,,,0.42
303,,,,0.3693,,,,0.227,,,,,,,,,,0.42
304,,,,0.3539,,,,0.2217,,,,,,,,,,0.42
305,,0.527,,0.3519,,,,0.2142,,,,,,,,,,0.42
306,,0.5236,,0.3481,,,,0.2075,,,,,,,,,,0.41
307,,0.5202,,0.3467,,,,0.2002,,,,,,,,,,0.41
308,,0.5157,,0.3492,,,,0.1911,,,,,,,,,,0.41
309,,0.5047,,0.3512,,,,0.1851,,,,,,,,,,0.41
310,,0.4938,,0.3546,,,,0.1771,,,,,,,,,,0.4
311,,0.4828,,0.3637,,,,0.1703,,,,,,,,,,0.4
312,,0.4718,,0.3724,,,,0.1634,,,,,,,,,,0.39
313,,0.4609,,0.3858,,,,0.1565,,,,,,,,,,0.38
314,,0.4469,,0.3979,,,,0.1502,,,,,,,,,,0.36
315,,0.4146,,0.4046,,,,0.144,,,,,,,,,,0.35
316,,0.3858,,0.4148,,,,0.1392,,,,,,,,,,0.33
317,,0.3692,,0.4246,,,,0.1352,,,,,,,,,,0.31
318,,0.3526,,0.4345,,,,0.1315,,,,,,,,,,0.29
319,,0.336,,0.4462,,,,0.1279,,,,,,,,,,0.28
320,,0.3202,,0.4578,,,,0.1249,,,,,,,,,,0.26
321,,0.3055,,0.4699,,,,0.1221,,,,,,,,,,0.24
322,,0.2883,,0.486,,,,0.119,,,,,,,,,,0.22
323,,0.28,,0.5082,,,,0.1166,,,,,,,,,,0.21
324,,0.2727,,0.5235,,,,0.1145,,,,,,,,,,0.2
325,,0.2658,,0.542,,,,0.1119,,,,,,,,,,0.18
326,,0.265,,0.5678,,,,0.1093,,,,,,,,,,0.17
327,,0.2641,,0.5818,,,,0.1074,,,,,,,,,,0.16
328,,0.2633,,0.6062,,,,0.1057,,,,,,,,,,0.16
329,,0.2625,,0.6197,,,,0.103,,,,,,,,,,0.15
330,,0.2647,,0.6421,,,,0.1017,,,,,,,,,,0.14
331,,0.2725,,0.6627,,,,0.0989,,,,,,,,,,0.13
332,,0.2802,,0.6866,,,,0.0976,,,,,,,,,,0.13
333,,0.2931,,0.709,,,,0.096,,,,,,,,,,0.12
334,,0.307,,0.7317,,,,0.0935,,,,,,,,,,0.12
335,,0.3208,,0.7536,,,,0.0918,,,,,,,,,,0.11
336,,0.3346,,0.775,,,,0.0904,,,,,,,,,,0.11
337,,0.3502,,0.7969,,,,0.089,,,,,,,,,,0.11
338,,0.3739,,0.8169,,,,0.087,,,,,,,,,,0.1
339,,0.3975,,0.8373,,,,0.0854,,,,,,,,,,0.1
340,,0.4211,,0.8607,,,,0.0848,,,,,,,,,,0.1
341,,0.4452,,0.8788,,,,0.0835,,,,,,,,,,0.09
342,,0.4699,,0.8966,,,,0.0819,,,,,,,,,,0.09
343,,0.4945,,0.9151,,,,0.0811,,,,,,,,,,0.09
344,,0.5191,,0.9335,,,,0.0796,,,,,,,,,,0.09
345,,0.5438,,0.947,,,,0.0786,,,,,,,,,,0.08
346,,0.5684,,0.9601,,,,0.078,,,,,,,,,,0.08
347,,0.5931,,0.9701,,,,0.077,,,,,,,,,,0.08
348,,0.619,,0.9809,,,,0.0769,,,,,,,,,,0.08
349,,0.6457,,0.9871,,,,0.0758,,,,,,,,,,0.08
350,,0.6723,,0.9951,,0.0774,,0.0748,,,,,,,,,,0.08
351,,0.6989,,0.9973,,0.0779,,0.0736,,,,,,,,,,0.07
352,,0.7255,,1,,0.0784,,0.0734,,,,,,,,,,0.07
353,,0.7495,,0.9977,,0.0789,,0.0739,,,,,,,,,,0.07
354,,0.7724,,0.9947,,0.0794,,0.0733,,,,,,,,,,0.07
355,,0.7953,,0.9902,,0.08,,0.0723,,,,,,,,,,0.07
356,,0.8182,,0.983,,0.0799,,0.0708,,,,,,,,,,0.07
357,,0.8411,0.0041,0.9726,,0.0794,,0.0697,,,,,,,,,,0.07
358,,0.8628,0.0042,0.9601,,0.0801,,0.0683,,,,,,,,,,0.07
359,,0.8772,0.0042,0.9485,,0.0803,,0.067,,,,,,,,,,0.06
360,,0.8916,0.0044,0.9323,,0.0797,,0.0653,,,,,,,,,,0.06
361,,0.906,0.0045,0.9171,,0.0809,,0.0626,,,,,,,,,,0.06
362,,0.9204,0.0047,0.9029,,0.0798,,0.0606,,,,,,,,,,0.06
363,,0.9348,0.0049,0.8846,,0.0793,,0.0583,,,,,,,,,,0.06
364,,0.9485,0.0051,0.864,,0.0787,,0.0549,,,,,,,,,,0.06
365,,0.9597,0.0053,0.8436,,0.0785,,0.0521,,,,,,,,,,0.06
366,,0.9706,0.0056,0.8237,,0.0779,,0.0491,,,,,,,,,,0.06
367,,0.976,0.0058,0.8012,,0.0771,,0.0469,,,,,,,,,,0.06
368,,0.9813,0.0061,0.7751,,0.0759,,0.0434,,,,,,,,,,0.06
369,,0.9867,0.0064,0.7507,,0.0752,,0.0412,,,,,,,,,,0.06
370,,0.9906,0.0067,0.7259,,0.0741,,0.0381,,,,,,,,,,0.06
371,,0.9943,0.007,0.6992,,0.0736,,0.0355,,,,,,,,,,0.06
372,,0.9981,0.0075,0.6698,,0.071,,0.0326,,,,,,,,,,0.05
373,,1,0.0079,0.6428,,0.0704,,0.0294,,,,,,,,,,0.05
374,,1,0.0085,0.6106,,0.068,,0.0272,,,,,,,,,,0.05
375,,1,0.0092,0.5786,,0.0667,,0.0251,,,,,,,,,,0.05
376,,1,0.0101,0.5477,,0.0654,,0.0226,,,,,,,,,,0.05
377,,1,0.0113,0.5162,,0.0636,,0.021,,,,,,,,,,0.05
378,,0.9993,0.0128,0.4838,,0.062,,0.019,,,,,,,,,,0.05
379,,0.9977,0.0146,0.4516,,0.0604,,0.0175,,,,,,,,,,0.05
380,,0.9961,0.0168,0.4195,,0.059,,0.0164,,,,,,,,,,0.05
381,,0.9945,0.0196,0.3927,,0.0567,,0.0151,,,,,,,,,,0.05
382,,0.9904,0.0231,0.3624,,0.0553,,0.0142,,,,,,,,,,0.05
383,,0.9822,0.0272,0.3341,,0.0533,,0.0134,,,,,,,,,,0.05
384,,0.974,0.0319,0.3076,,0.0518,,0.0127,,,,,,,,,,0.05
385,,0.9632,0.0371,0.2815,,0.0502,,0.0124,,,,,,,,,,0.04
386,,0.9502,0.0429,0.2572,,0.0487,,0.0117,,,,,,,,,,0.04
387,,0.9372,0.049,0.2339,,0.047,,0.0114,,,,,,,,,,0.04
388,,0.9242,0.0552,0.2137,,0.0449,,0.0111,,,,,,,,,,0.04
389,,0.9112,0.0617,0.1928,,0.0434,,0.0108,,,,,,,,,,0.04
390,,0.8984,0.0684,0.175,,0.0417,,0.0104,,,,,,,,,,0.04
391,,0.8857,0.0752,0.1581,,0.0398,,0.0102,,,,,,,,,,0.04
392,,0.8731,0.082,0.1442,,0.0382,,0.01,,,,,,,,,,0.04
393,,0.8604,0.0895,0.1293,,0.0365,,0.01,,,,,,,,,,0.04
394,,0.8478,0.0976,0.116,,0.0349,,0.0101,,,,,,,,,,0.04
395,,0.8351,0.1064,0.1046,,0.0334,,0.0102,,,,,,,,,,0.04
396,,0.8221,0.1163,0.0943,,0.0318,,0.0099,,,,,,,,,,0.04
397,,0.8074,0.1277,0.0832,,0.03,,0.01,,,,,,,,,,0.04
398,0.0112,0.7926,0.14,0.0745,,0.029,,0.0101,,,,,,,,,,0.04
399,0.0172,0.7779,0.1533,0.0677,,0.0273,,0.0105,,,,,,,,,,0.04
400,0.0232,0.7632,0.1672,0.0586,,0.026,,0.0106,,0.04050000011920929,,0.04760033264756203,,,,,,0.04
401,0.0301,0.7492,0.1826,0.0533,,0.0248,,0.0107,,0.04050000011920929,,0.046690911054611206,,,,,,0.04
402,0.0389,0.7352,0.1984,0.0476,,0.0237,,0.0114,,0.04050000011920929,,0.04499291628599167,,,,,,0.04
403,0.0477,0.7212,0.2152,0.0422,,0.0227,,0.0117,,0.04050000011920929,,0.04439760372042656,,,,,,0.04
404,0.0565,0.7071,0.2324,0.0381,,0.0222,,0.0121,,0.04050000011920929,,0.04402201250195503,,,,,,0.04
405,0.0719,0.6931,0.2505,0.0346,,0.0217,,0.0124,,0.04050000011920929,,0.0433940663933754,,,,,,0.04
406,0.0921,0.6734,0.2684,0.0298,,0.0211,,0.013,,0.04050000011920929,,0.04358493909239769,,,,,,0.04
407,0.1222,0.6537,0.2869,0.0284,,0.0207,,0.0135,,0.03989999989668528,,0.04368031024932861,,,,,,0.04
408,0.1662,0.634,0.306,0.0257,,0.0206,,0.0142,,0.03929999967416128,,0.04216471686959267,,,,,,0.04
409,0.2103,,0.3252,0.0231,,0.0208,,0.0151,,0.03869999945163727,,0.04188740998506546,,,,,,0.04
410,0.2544,,0.3458,0.0223,,0.021,,0.0158,,0.03871999979019165,,0.039429567754268646,,,,,,0.04
411,0.2985,,0.3663,0.0197,,0.0212,,0.0165,,0.03874000012874603,,0.03843245282769203,,,,,,0.04
412,0.3595,,0.3868,0.019,,0.0213,,0.0176,,0.038760000467300416,,0.041622344404459,,,,,,0.04
413,0.424,,0.4083,0.0185,,0.0219,,0.0189,,0.038780000805854795,,0.04328890144824982,,,,,,0.04
414,0.4829,,0.4299,0.0162,,0.0225,,0.0205,,0.03880000114440918,,0.04359612241387367,,,,,,0.04
415,0.5395,,0.4517,0.0142,,0.0231,,0.0222,,0.03844000101089477,,0.04358692467212677,,,,,,0.04
416,0.5961,,0.4733,0.014,,0.0241,,0.0236,,0.03808000087738037,,0.04351518303155899,,,,,,0.04
417,0.6694,,0.4955,0.0126,,0.0249,,0.0247,,0.037720000743865965,,0.04407482594251633,,,,,,0.05
418,0.7429,,0.5177,0.0113,,0.0258,,0.0267,,0.037360000610351565,,0.04471733048558235,,,,,,0.05
